Requirement ID,Type,Title,Steps,Expected Result
REQ-1,functional,Successful login with valid credentials,Navigate to the login page | Enter registered email | Enter correct password | Click on the login button,User is successfully logged in and redirected to the dashboard.
REQ-1,negative,Login attempt with unregistered email,Navigate to the login page | Enter an unregistered email | Enter any password | Click on the login button,Error message displayed: 'Email not registered.'
REQ-1,edge,Login attempt with maximum length email,"Navigate to the login page | Enter an email with maximum allowed length (e.g., 254 characters) | Enter correct password | Click on the login button",User is successfully logged in and redirected to the dashboard.
REQ-2,functional,Valid email format validation,"Navigate to the registration page | Enter a valid email format (e.g., user@example.com) | Submit the form",Email format is accepted and the form is submitted successfully.
REQ-2,negative,Invalid email format validation,"Navigate to the registration page | Enter an invalid email format (e.g., user@.com) | Submit the form",Error message displayed: 'Invalid email format.'
REQ-2,edge,Email with special characters,"Navigate to the registration page | Enter an email with special characters (e.g., user+test@example.com) | Submit the form",Email format is accepted and the form is submitted successfully.
REQ-3,functional,Password meets minimum length requirement,Navigate to the registration page | Enter a password with 8 characters | Submit the form,Password is accepted and the form is submitted successfully.
REQ-3,negative,Password does not meet minimum length requirement,Navigate to the registration page | Enter a password with less than 8 characters | Submit the form,Error message displayed: 'Password must be at least 8 characters long.'
REQ-3,edge,Password with exactly 8 characters,Navigate to the registration page | Enter a password with exactly 8 characters | Submit the form,Password is accepted and the form is submitted successfully.
REQ-4,functional,Account lock after 5 failed login attempts,Navigate to the login page | Enter valid email and incorrect password 5 times | Attempt to login again,User account is locked and an error message is displayed: 'Account locked due to multiple failed attempts.'
REQ-4,negative,Login attempt after account lock,Navigate to the login page | Enter valid email and incorrect password 5 times to lock the account | Wait for a few seconds | Attempt to login with correct credentials,Error message displayed: 'Account is locked. Please contact support.'
REQ-4,edge,Lock account with exactly 5 failed attempts,Navigate to the login page | Enter valid email and incorrect password 5 times | Attempt to login with correct credentials,User account is locked and an error message is displayed: 'Account locked due to multiple failed attempts.'
REQ-5,functional,Forgot password sends reset email,Navigate to the login page | Click on 'Forgot Password' link | Enter registered email | Submit the form,Reset email is sent to the registered email address.
REQ-5,negative,Forgot password with unregistered email,Navigate to the login page | Click on 'Forgot Password' link | Enter an unregistered email | Submit the form,Error message displayed: 'Email not registered.'
REQ-5,edge,Forgot password with maximum length email,"Navigate to the login page | Click on 'Forgot Password' link | Enter an email with maximum allowed length (e.g., 254 characters) | Submit the form",Reset email is sent to the registered email address.
REQ-6,functional,Display error message for invalid login,Navigate to the login page | Enter valid email and incorrect password | Click on the login button,Error message displayed: 'Invalid email or password.'
REQ-6,negative,No error message for valid credentials,Navigate to the login page | Enter valid email and correct password | Click on the login button,No error message is displayed.
REQ-6,edge,Error message for empty login fields,Navigate to the login page | Leave email and password fields empty | Click on the login button,Error message displayed: 'Email and password cannot be empty.'
REQ-7,functional,Login API response time under 2 seconds,Send a login request with valid credentials | Measure the response time,Response time is less than 2 seconds.
REQ-7,negative,Simulate high load to test response time,Simulate multiple concurrent login requests | Measure the response time for each request,At least one response time exceeds 2 seconds.
REQ-7,edge,Login API response time at boundary condition,Send a login request with valid credentials | Measure the response time to be exactly 2 seconds,Response time is exactly 2 seconds.
